google suicide edu eco
americansamoa samoa samoa samoa
andorra x x andorra
anguilla x anguilla anguilla
antarctica x x x
antigua&barbuda antiguaandbarbuda antiguaandbarbuda antiguaandbarbuda
aruba x aruba aruba
ascensionisland x x x
bahamas bahamas x bahamas
bermuda x bermuda bermuda
bolivia bolivia(plurinationalstateof) bolivia bolivia(plurinationalstateof)
bosnia&herzegovina bosniaandherzegovina bosniaandherzegovina bosniaandherzegovina
bouvetisland x x x
britishindianoceanterritory x x x
britishvirginislands x britishvirginislands britishvirginislands
brunei bruneidarussalam bruneidarussalam bruneidarussalam
canaryislands x x x
capeverde caboverde capeverde caboverde
caribbeannetherlands x x x
caymanislands x x caymanislands
ceuta&melilla x x x
china china,people'srepublicof china china
christmasisland x x x
clippertonisland x x x
cocos(keeling)islands x x x
congo-brazzaville congo congo congo
congo-kinshasa democraticrepublicofthecongo democraticrepublicofthecongo democraticrepublicofthecongo
cookislands x cookislands cookislands
curaçao x x curaçao
czechia czechia czechrepublic czechrepublic
côted’ivoire cÃ´ted'ivoire côted'ivoire côted'ivoire
diegogarcia x x x
dominica x dominica dominica
falklandislands(islasmalvinas) x x x
faroeislands x x x
frenchguiana x x x
frenchpolynesia x x frenchpolynesia
frenchsouthernterritories x x x
gibraltar x gibraltar x
greenland x x greenland
guadeloupe x x x
guam x x x
guernsey x x x
haiti haiti haiti haiti
heard&mcdonaldislands x x x
hongkong x hongkongspecialadministrativeregionofchina china,hongkongsar
iran iran(islamicrepublicof) iran,islamicrepublicof iran,islamicrepublicof
isleofman x x x
jersey x x x
kosovo x x kosovo
laos laopeople'sdemocraticrepublic laopeople'sdemocraticrepublic laopeople'sdemocraticrepublic
libya libya libyanarabjamahiriya libya
liechtenstein x liechtenstein liechtenstein
macau x macaospecialadministrativeregionofchina china,macaospecialadministrativeregion
macedonia(fyrom) theformeryugoslavrepublicofmacedonia theformeryugoslavrepublicofmacedonia theformeryugoslavrepublicofmacedonia
marshallislands x marshallislands marshallislands
martinique x x x
mayotte x x x
micronesia micronesia(federatedstatesof) micronesia,federatedstatesof micronesia(federatedstatesof)
moldova republicofmoldova moldova republicofmoldova
monaco x monaco monaco
montserrat x montserrat montserrat
myanmar(burma) myanmar myanmar myanmar
nauru x nauru nauru
newcaledonia x x newcaledonia
niue x niue x
norfolkisland x x x
northkorea democraticpeople'srepublicofkorea democraticpeople'srepublicofkorea democraticpeople'srepublicofkorea
northernmarianaislands x x x
palau x palau palau
palestine x x stateofpalestine
papuanewguinea papuanewguinea papuanewguinea papuanewguinea
pitcairnislands x x x
puertorico x puertorico puertorico
russia russianfederation russianfederation russianfederation
réunion x x x
sanmarino x sanmarino sanmarino
singapore singapore x singapore
sintmaarten x x x
somalia somalia x somalia
southgeorgia&southsandwichislands x x x
southkorea republicofkorea republicofkorea republicofkorea
southsudan southsudan x southsudan
st.barthélemy x x x
st.helena x x x
st.kitts&nevis x saintkittsandnevis saintkittsandnevis
st.lucia saintlucia saintlucia saintlucia
st.martin x x x
st.pierre&miquelon x x x
st.vincent&grenadines saintvincentandthegrenadines saintvincentandthegrenadines saintvincentandthegrenadines
svalbard&janmayen x x x
syria syrianarabrepublic syrianarabrepublic syrianarabrepublic
sãotomé&príncipe saotomeandprincipe saotomeandprincipe saotomeandprincipe
taiwan x x x
tanzania unitedrepublicoftanzania unitedrepublicoftanzania unitedrepublicoftanzania
tokelau x tokelau x
trinidad&tobago trinidadandtobago trinidadandtobago trinidadandtobago
tristandacunha x x x
turks&caicosislands x x x
tuvalu x tuvalu tuvalu
u.s.outlyingislands x x x
u.s.virginislands x x x
unitedkingdom unitedkingdomofgreatbritainandnorthernireland unitedkingdomofgreatbritainandnorthernireland unitedkingdomofgreatbritainandnorthernireland
unitedstates unitedstatesofamerica unitedstatesofamerica unitedstates
vaticancity x x x
venezuela venezuela(bolivarianrepublicof) venezuela(bolivarianrepublicof) venezuela(bolivarianrepublicof)
wallis&futuna x x x
westernsahara x x x
zambia zambia zambia zambia
ålandislands x x x
