afghanistan	Afghanistan
albania	Albania
algeria	Algeria
americansamoa	American Samoa
andorra	Andorra
angola	Angola
anguilla	Anguilla
antarctica	Antarctica
antigua&barbuda	Antigua & Barbuda
argentina	Argentina
armenia	Armenia
aruba	Aruba
ascensionisland	Ascension Island
australia	Australia
austria	Austria
azerbaijan	Azerbaijan
bahamas	Bahamas
bahrain	Bahrain
bangladesh	Bangladesh
barbados	Barbados
belarus	Belarus
belgium	Belgium
belize	Belize
benin	Benin
bermuda	Bermuda
bhutan	Bhutan
bolivia	Bolivia
bosnia&herzegovina	Bosnia & Herzegovina
botswana	Botswana
bouvetisland	Bouvet Island
brazil	Brazil
britishindianoceanterritory	British Indian Ocean Territory
britishvirginislands	British Virgin Islands
brunei	Brunei
bulgaria	Bulgaria
burkinafaso	Burkina Faso
burundi	Burundi
cambodia	Cambodia
cameroon	Cameroon
canada	Canada
canaryislands	Canary Islands
capeverde	Cape Verde
caribbeannetherlands	Caribbean Netherlands
caymanislands	Cayman Islands
centralafricanrepublic	Central African Republic
ceuta&melilla	Ceuta & Melilla
chad	Chad
chile	Chile
china	China
christmasisland	Christmas Island
clippertonisland	Clipperton Island
cocos(keeling)islands	Cocos (Keeling) Islands
colombia	Colombia
comoros	Comoros
congo-brazzaville	Congo - Brazzaville
congo-kinshasa	Congo - Kinshasa
cookislands	Cook Islands
costarica	Costa Rica
croatia	Croatia
cuba	Cuba
curaçao	Curaçao
cyprus	Cyprus
czechia	Czechia
côted’ivoire	Côte d’Ivoire
denmark	Denmark
diegogarcia	Diego Garcia
djibouti	Djibouti
dominica	Dominica
dominicanrepublic	Dominican Republic
ecuador	Ecuador
egypt	Egypt
elsalvador	El Salvador
equatorialguinea	Equatorial Guinea
eritrea	Eritrea
estonia	Estonia
ethiopia	Ethiopia
falklandislands(islasmalvinas)	Falkland Islands (Islas Malvinas)
faroeislands	Faroe Islands
fiji	Fiji
finland	Finland
france	France
frenchguiana	French Guiana
frenchpolynesia	French Polynesia
frenchsouthernterritories	French Southern Territories
gabon	Gabon
gambia	Gambia
georgia	Georgia
germany	Germany
ghana	Ghana
gibraltar	Gibraltar
greece	Greece
greenland	Greenland
grenada	Grenada
guadeloupe	Guadeloupe
guam	Guam
guatemala	Guatemala
guernsey	Guernsey
guinea	Guinea
guinea-bissau	Guinea-Bissau
guyana	Guyana
